縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,91.15,2.43,40657.67,47.2,20.72,26.49,127.85,110Y06M
65000,新北市,65000010,板橋區,65000010-002,流芳里,88.51,2.37,32512.36,53.6,23.77,29.84,125.54,110Y06M
65000,新北市,65000010,板橋區,65000010-003,赤松里,87.55,2.16,30141.58,49.27,23.32,25.95,111.25,110Y06M
65000,新北市,65000010,板橋區,65000010-004,黃石里,92.88,2.45,12884.04,57.77,29.73,28.03,94.29,110Y06M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,94.62,2.32,17428.86,55.73,25.13,30.59,121.71,110Y06M
65000,新北市,65000010,板橋區,65000010-006,湳興里,91.09,2.33,32237.48,40.7,16.01,24.69,154.18,110Y06M
65000,新北市,65000010,板橋區,65000010-007,新興里,91.46,2.1,37276.7,39.26,13.46,25.8,191.72,110Y06M
65000,新北市,65000010,板橋區,65000010-008,社後里,130.49,1.76,59727.53,36.46,9.18,27.28,297,110Y06M
65000,新北市,65000010,板橋區,65000010-009,香社里,97.61,2.58,19572.23,37.18,14.51,22.67,156.24,110Y06M
65000,新北市,65000010,板橋區,65000010-010,中正里,94.68,2.43,7146.53,37.75,18.75,19,101.34,110Y06M
65000,新北市,65000010,板橋區,65000010-011,自強里,95.42,2.53,61450.03,58.1,20.42,37.68,184.51,110Y06M
65000,新北市,65000010,板橋區,65000010-012,自立里,92.65,2.56,63770.86,43.32,14.63,28.69,196.19,110Y06M
65000,新北市,65000010,板橋區,65000010-013,光華里,93.86,2.42,49151.88,42.85,15.34,27.51,179.32,110Y06M
65000,新北市,65000010,板橋區,65000010-014,國光里,92.49,2.4,67460.67,43.23,11.25,31.98,284.35,110Y06M
65000,新北市,65000010,板橋區,65000010-015,港尾里,91.08,2.69,67503.71,40.38,19.28,21.1,109.47,110Y06M
65000,新北市,65000010,板橋區,65000010-016,金華里,94.75,2.73,75452.16,45.09,18.71,26.39,141.06,110Y06M
65000,新北市,65000010,板橋區,65000010-017,港德里,96.35,2.5,66688,46.62,16.55,30.07,181.7,110Y06M
65000,新北市,65000010,板橋區,65000010-018,民權里,91.75,2.44,47585.67,50.8,15.6,35.19,225.55,110Y06M
65000,新北市,65000010,板橋區,65000010-019,建國里,91.68,2.51,62362.35,45.65,16.69,28.96,173.54,110Y06M
65000,新北市,65000010,板橋區,65000010-020,漢生里,94.08,2.57,40247.68,60.19,26.72,33.47,125.24,110Y06M
65000,新北市,65000010,板橋區,65000010-021,公里,98.17,2.64,50400.64,46.03,20.41,25.62,125.49,110Y06M
65000,新北市,65000010,板橋區,65000010-022,新民里,93.7,2.62,15410.38,53.79,26.68,27.11,101.64,110Y06M
65000,新北市,65000010,板橋區,65000010-023,幸福里,96.38,2.58,37545.09,41.58,15.36,26.22,170.64,110Y06M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,91.29,2.49,36885.42,51.98,22.69,29.29,129.14,110Y06M
65000,新北市,65000010,板橋區,65000010-025,百壽里,85.73,2.41,51097.24,54.71,29.35,25.36,86.39,110Y06M
65000,新北市,65000010,板橋區,65000010-026,介壽里,89.81,2.52,41523.02,56.45,26.65,29.79,111.78,110Y06M
65000,新北市,65000010,板橋區,65000010-027,新埔里,97.03,2.4,36389.23,42.76,13.4,29.36,219.1,110Y06M
65000,新北市,65000010,板橋區,65000010-028,華江里,85.91,2.44,66965.79,47.92,28.79,19.14,66.47,110Y06M
65000,新北市,65000010,板橋區,65000010-029,江翠里,96.48,2.5,39217.28,38.82,15.12,23.7,156.75,110Y06M
65000,新北市,65000010,板橋區,65000010-030,純翠里,90.97,2.63,47205.27,40.13,16.55,23.58,142.47,110Y06M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,95.69,2.39,8466.27,37.33,15.92,21.4,134.4,110Y06M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,89.03,2.25,49208.11,35.84,12.38,23.46,189.53,110Y06M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,89.55,2.19,12268.38,34.34,15.54,18.8,121,110Y06M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,94.78,2.63,76431.78,45.04,14.61,30.42,208.19,110Y06M
65000,新北市,65000010,板橋區,65000010-035,新翠里,91.09,2.53,70954.18,36.1,16.12,19.99,124.01,110Y06M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,93.4,2.75,71318.49,41.63,17.18,24.45,142.27,110Y06M
65000,新北市,65000010,板橋區,65000010-037,德翠里,95.82,2.71,67830.15,32.71,17.21,15.5,90.1,110Y06M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,91.85,2.63,51778.55,43.36,14.45,28.91,200,110Y06M
65000,新北市,65000010,板橋區,65000010-039,明翠里,94.48,2.47,46563.7,42.61,14.24,28.37,199.18,110Y06M
65000,新北市,65000010,板橋區,65000010-040,松翠里,91.81,2.4,47993.94,42.03,14.49,27.53,189.97,110Y06M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,91.16,2.23,7151.29,39.12,17.4,21.73,124.88,110Y06M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,95.69,2.52,42340.1,37.01,14.04,22.97,163.57,110Y06M
65000,新北市,65000010,板橋區,65000010-043,華翠里,93.78,2.66,41936.99,45.89,21.1,24.79,117.48,110Y06M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,87.81,2.43,51932.86,37.83,20.39,17.44,85.5,110Y06M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,101.37,2.56,55702.56,42.01,15.48,26.53,171.43,110Y06M
65000,新北市,65000010,板橋區,65000010-046,文翠里,95.89,2.56,30504.95,42,15.23,26.77,175.81,110Y06M
65000,新北市,65000010,板橋區,65000010-047,青翠里,101.73,2.51,54174.54,39.87,13.86,26.01,187.71,110Y06M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,97.35,2.77,20946.58,35.6,14.36,21.24,147.89,110Y06M
65000,新北市,65000010,板橋區,65000010-049,福翠里,100.86,2.44,10748.39,44.72,15.32,29.4,191.89,110Y06M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,96.22,2.51,28701.46,35.39,13.08,22.32,170.65,110Y06M
65000,新北市,65000010,板橋區,65000010-051,振興里,95.28,2.62,42681.04,37.42,11.46,25.96,226.56,110Y06M
65000,新北市,65000010,板橋區,65000010-052,振義里,96.09,2.58,14261.69,36.79,12.8,23.99,187.47,110Y06M
65000,新北市,65000010,板橋區,65000010-053,光復里,102.97,2.49,8589.31,36.32,13.94,22.37,160.46,110Y06M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,90.65,2.42,55159.41,34.33,12.11,22.21,183.33,110Y06M
65000,新北市,65000010,板橋區,65000010-055,長壽里,96.49,2.69,28141.13,45.64,16.08,29.56,183.84,110Y06M
65000,新北市,65000010,板橋區,65000010-056,福壽里,96,2.58,30957.97,35.44,12.83,22.61,176.27,110Y06M
65000,新北市,65000010,板橋區,65000010-057,海山里,90.28,2.94,63987.64,49.53,28.69,20.84,72.64,110Y06M
65000,新北市,65000010,板橋區,65000010-058,九如里,95.64,2.66,47536.46,41.36,17.1,24.26,141.9,110Y06M
65000,新北市,65000010,板橋區,65000010-059,玉光里,89.21,2.52,46382.92,43.88,22.82,21.07,92.34,110Y06M
65000,新北市,65000010,板橋區,65000010-060,光仁里,96.26,2.89,27430.3,48.81,21.74,27.06,124.49,110Y06M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,90.52,2.62,64623.32,49.87,27.69,22.18,80.09,110Y06M
65000,新北市,65000010,板橋區,65000010-062,永安里,93.88,2.6,55707.38,45.21,22.45,22.76,101.37,110Y06M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,91.81,2.75,44377.11,44.59,22.9,21.7,94.75,110Y06M
65000,新北市,65000010,板橋區,65000010-064,廣新里,95.13,2.86,49120.08,48.62,23.2,25.43,109.62,110Y06M
65000,新北市,65000010,板橋區,65000010-065,深丘里,91.69,2.49,26073.36,52.19,31.02,21.17,68.26,110Y06M
65000,新北市,65000010,板橋區,65000010-066,香丘里,90.69,2.61,43909.65,51.72,28.29,23.44,82.85,110Y06M
65000,新北市,65000010,板橋區,65000010-067,西安里,93.2,2.63,40331.51,48.18,21.85,26.33,120.53,110Y06M
65000,新北市,65000010,板橋區,65000010-068,東丘里,94.01,2.83,38997.58,48.12,22.02,26.1,118.51,110Y06M
65000,新北市,65000010,板橋區,65000010-069,長安里,92.97,2.84,45488.88,48.11,28.94,19.17,66.22,110Y06M
65000,新北市,65000010,板橋區,65000010-070,福丘里,84.4,2.26,20715.6,48.29,25.24,23.05,91.35,110Y06M
65000,新北市,65000010,板橋區,65000010-071,福祿里,89.11,2.53,49825.75,45.49,21.09,24.4,115.69,110Y06M
65000,新北市,65000010,板橋區,65000010-072,民族里,92.54,2.79,56374.2,59.73,36.9,22.83,61.87,110Y06M
65000,新北市,65000010,板橋區,65000010-073,國泰里,91.24,2.58,34606.49,45.76,20.33,25.43,125.09,110Y06M
65000,新北市,65000010,板橋區,65000010-074,福德里,98.57,2.61,40806.43,43.48,16.57,26.91,162.39,110Y06M
65000,新北市,65000010,板橋區,65000010-075,景星里,93.07,2.24,40859.06,40.31,15.14,25.17,166.23,110Y06M
65000,新北市,65000010,板橋區,65000010-076,福星里,90.83,2.64,24395.31,43.18,16.2,26.98,166.5,110Y06M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,91.71,2.3,18245.62,39.61,14.31,25.3,176.77,110Y06M
65000,新北市,65000010,板橋區,65000010-078,廣德里,94.8,2.68,47436.37,41.95,18.55,23.41,126.2,110Y06M
65000,新北市,65000010,板橋區,65000010-079,大豐里,93.04,2.62,50411.47,45.44,16.18,29.26,180.79,110Y06M
65000,新北市,65000010,板橋區,65000010-080,重慶里,93.67,2.68,37257.85,37.39,17.53,19.86,113.34,110Y06M
65000,新北市,65000010,板橋區,65000010-081,仁愛里,98.6,2.66,34366.31,44.7,15.06,29.65,196.91,110Y06M
65000,新北市,65000010,板橋區,65000010-082,和平里,87.35,2.48,66795.2,41.64,27.66,13.98,50.54,110Y06M
65000,新北市,65000010,板橋區,65000010-083,廣福里,95.52,2.65,15870.31,37.9,17.81,20.09,112.75,110Y06M
65000,新北市,65000010,板橋區,65000010-084,華興里,92.53,2.53,62311.92,37.25,13.77,23.49,170.6,110Y06M
65000,新北市,65000010,板橋區,65000010-085,華貴里,91.62,2.62,45937.45,45.25,16.57,28.67,173,110Y06M
65000,新北市,65000010,板橋區,65000010-086,華德里,91.18,2.4,55546.6,38.44,16.93,21.5,127.01,110Y06M
65000,新北市,65000010,板橋區,65000010-087,華東里,93.34,2.27,10491.95,37.48,14.99,22.48,149.94,110Y06M
65000,新北市,65000010,板橋區,65000010-088,信義里,95.1,2.51,55685.38,42.41,15.98,26.43,165.4,110Y06M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,102.76,2.67,5752.16,40.72,16.15,24.57,152.13,110Y06M
65000,新北市,65000010,板橋區,65000010-090,華中里,100.59,2.73,6842.5,37.85,16.52,21.34,129.17,110Y06M
65000,新北市,65000010,板橋區,65000010-091,僑中里,98.99,2.79,57408.78,32.74,16.86,15.88,94.18,110Y06M
65000,新北市,65000010,板橋區,65000010-092,中山里,96.08,2.29,18246.65,36.43,17.18,19.26,112.11,110Y06M
65000,新北市,65000010,板橋區,65000010-093,復興里,156.81,3.61,9016.79,83.36,17.57,65.79,374.47,110Y06M
65000,新北市,65000010,板橋區,65000010-094,大安里,103.54,2.64,42071.2,41.8,15.66,26.14,166.97,110Y06M
65000,新北市,65000010,板橋區,65000010-095,福安里,91.85,2.2,16505.19,35.55,18.59,16.96,91.26,110Y06M
65000,新北市,65000010,板橋區,65000010-096,聚安里,99.81,2.69,18676.25,39.39,15.96,23.43,146.74,110Y06M
65000,新北市,65000010,板橋區,65000010-097,龍安里,94.57,2.65,13053.44,44.16,16.3,27.87,170.99,110Y06M
65000,新北市,65000010,板橋區,65000010-098,崑崙里,95.68,2.73,37764.16,34.53,18.62,15.92,85.5,110Y06M
65000,新北市,65000010,板橋區,65000010-099,溪洲里,94.87,2.78,43965.62,41.28,18.3,22.98,125.6,110Y06M
65000,新北市,65000010,板橋區,65000010-100,溪北里,96.81,2.7,29957.45,41.77,19.03,22.75,119.56,110Y06M
65000,新北市,65000010,板橋區,65000010-101,香雅里,95.03,2.43,23950.88,40.48,14.32,26.15,182.61,110Y06M
65000,新北市,65000010,板橋區,65000010-102,新生里,97.94,2.76,80105.7,47.09,19.14,27.95,146.01,110Y06M
65000,新北市,65000010,板橋區,65000010-103,文德里,97.69,2.56,53684.72,37.62,13.32,24.31,182.55,110Y06M
65000,新北市,65000010,板橋區,65000010-104,文化里,93.79,2.46,28424.39,43.51,16.58,26.94,162.5,110Y06M
65000,新北市,65000010,板橋區,65000010-105,新海里,100.56,2.86,20799.76,39.69,18.47,21.22,114.86,110Y06M
65000,新北市,65000010,板橋區,65000010-106,莒光里,94.43,2.52,34115.92,48.13,19.52,28.62,146.6,110Y06M
65000,新北市,65000010,板橋區,65000010-107,富貴里,93.47,2.63,41600.03,45.58,15.49,30.1,194.38,110Y06M
65000,新北市,65000010,板橋區,65000010-108,正泰里,90.83,2.73,78250.04,44.26,18.5,25.76,139.24,110Y06M
65000,新北市,65000010,板橋區,65000010-109,民生里,91.91,2.51,59699.6,46.45,22.19,24.25,109.27,110Y06M
65000,新北市,65000010,板橋區,65000010-110,後埔里,94.53,2.37,63441.54,45.08,15.93,29.15,183.01,110Y06M
65000,新北市,65000010,板橋區,65000010-111,華福里,92.76,2.68,47895.94,44.95,14.77,30.18,204.31,110Y06M
65000,新北市,65000010,板橋區,65000010-112,堂春里,96.41,2.91,12151.95,34.59,19.14,15.45,80.72,110Y06M
65000,新北市,65000010,板橋區,65000010-113,成和里,95.5,2.62,10429.73,33.12,19.93,13.2,66.22,110Y06M
65000,新北市,65000010,板橋區,65000010-114,光榮里,103.16,2.51,56838.25,45.72,15.41,30.31,196.77,110Y06M
65000,新北市,65000010,板橋區,65000010-115,民安里,87.42,2.54,52754.2,61.85,27.13,34.72,127.96,110Y06M
