縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,94.38,2.49,23673.25,43.17,18.35,24.82,135.23,111Y06M
65000,新北市,65000020,三重區,96.1,2.42,23201.26,39.28,15.02,24.26,161.54,111Y06M
65000,新北市,65000030,中和區,93.27,2.36,19898.03,40.96,14.18,26.78,188.84,111Y06M
65000,新北市,65000040,永和區,89.97,2.33,36922.71,48.06,17.28,30.78,178.09,111Y06M
65000,新北市,65000050,新莊區,94.69,2.57,21194.58,38.2,18.67,19.53,104.58,111Y06M
65000,新北市,65000060,新店區,92.15,2.27,2454.65,41.75,13.02,28.72,220.52,111Y06M
65000,新北市,65000070,樹林區,99.04,2.66,5428.54,37.29,17.53,19.77,112.79,111Y06M
65000,新北市,65000080,鶯歌區,100.28,2.67,4163.54,36.17,17.21,18.96,110.16,111Y06M
65000,新北市,65000090,三峽區,99.71,2.57,601.48,38.23,19.04,19.19,100.77,111Y06M
65000,新北市,65000100,淡水區,91.61,2.16,2611.08,38.68,15.41,23.28,151.1,111Y06M
65000,新北市,65000110,汐止區,94.66,2.21,2869.09,34.63,13.17,21.46,162.96,111Y06M
65000,新北市,65000120,瑞芳區,101.54,2.37,536.83,40.38,11.8,28.58,242.28,111Y06M
65000,新北市,65000130,土城區,96.33,2.59,7991.7,35.04,15.91,19.13,120.24,111Y06M
65000,新北市,65000140,蘆洲區,95.74,2.7,26859.09,34.22,16.64,17.58,105.6,111Y06M
65000,新北市,65000150,五股區,100.14,2.51,2597.18,32.53,15.23,17.3,113.63,111Y06M
65000,新北市,65000160,泰山區,97.31,2.65,4005.68,38.02,18.29,19.73,107.86,111Y06M
65000,新北市,65000170,林口區,94.34,2.44,2306.99,43.11,25.86,17.25,66.72,111Y06M
65000,新北市,65000180,深坑區,99.8,2.38,1139.19,34.69,11.95,22.74,190.29,111Y06M
65000,新北市,65000190,石碇區,120.09,2.18,50.85,45.12,8.9,36.22,407.11,111Y06M
65000,新北市,65000200,坪林區,118.36,2.57,38.5,53.24,9.76,43.48,445.35,111Y06M
65000,新北市,65000210,三芝區,105.47,2.31,335.77,40.93,11.67,29.26,250.68,111Y06M
65000,新北市,65000220,石門區,108.93,2.62,215.39,37.46,10.08,27.37,271.48,111Y06M
65000,新北市,65000230,八里區,99.37,2.46,1019.54,34.78,14.67,20.11,137.11,111Y06M
65000,新北市,65000240,平溪區,127.74,1.95,60.3,56.1,6.53,49.56,758.89,111Y06M
65000,新北市,65000250,雙溪區,118.75,2.24,55.76,53.43,8.79,44.65,508.14,111Y06M
65000,新北市,65000260,貢寮區,104.4,2.65,113.8,41.75,6.99,34.76,497.33,111Y06M
65000,新北市,65000270,金山區,97.12,2.85,419.97,36.1,10.99,25.11,228.46,111Y06M
65000,新北市,65000280,萬里區,99.6,2.82,333.81,41.62,11.61,30.01,258.54,111Y06M
65000,新北市,65000290,烏來區,96.01,3.29,19.6,43.31,19.42,23.88,122.98,111Y06M
63000,臺北市,63000010,松山區,87.8,2.38,20237.84,55.88,22.54,33.34,147.91,111Y06M
63000,臺北市,63000020,信義區,90.59,2.32,18009.58,49.37,16.32,33.05,202.5,111Y06M
63000,臺北市,63000030,大安區,87.3,2.41,24850.55,59.74,24.22,35.52,146.7,111Y06M
63000,臺北市,63000040,中山區,86.16,2.14,15337.92,48.8,17.12,31.68,185.07,111Y06M
63000,臺北市,63000050,中正區,90.55,2.29,19328.52,56.59,25.35,31.24,123.21,111Y06M
63000,臺北市,63000060,大同區,93.43,2.29,20818.62,48.93,18.29,30.64,167.55,111Y06M
63000,臺北市,63000070,萬華區,95.36,2.22,19526.78,46.67,13.59,33.07,243.34,111Y06M
63000,臺北市,63000080,文山區,91.35,2.41,8132.98,45.1,18.5,26.59,143.71,111Y06M
63000,臺北市,63000090,南港區,94.69,2.39,5202.95,43.58,17.28,26.3,152.19,111Y06M
63000,臺北市,63000100,內湖區,90.72,2.49,8597.25,42.9,19.81,23.09,116.61,111Y06M
63000,臺北市,63000110,士林區,93.06,2.48,4217.1,49.57,17.59,31.97,181.74,111Y06M
63000,臺北市,63000120,北投區,92.24,2.47,4221.44,48.1,19,29.1,153.15,111Y06M
68000,桃園市,68000010,桃園區,93.01,2.5,13154.84,39.48,20.43,19.06,93.29,111Y06M
68000,桃園市,68000020,中壢區,95.73,2.55,5494.6,39.7,20.18,19.53,96.79,111Y06M
68000,桃園市,68000030,大溪區,103.22,2.73,895.84,40.91,18.12,22.79,125.77,111Y06M
68000,桃園市,68000040,楊梅區,100.17,2.72,1980.09,38.24,19.91,18.33,92.08,111Y06M
68000,桃園市,68000050,蘆竹區,97.81,2.68,2198.84,37.36,21.27,16.09,75.64,111Y06M
68000,桃園市,68000060,大園區,102.97,2.64,992.61,38.15,19.33,18.82,97.35,111Y06M
68000,桃園市,68000070,龜山區,98.32,2.4,2341.9,37.4,17.98,19.42,107.98,111Y06M
68000,桃園市,68000080,八德區,98.34,2.67,6203.21,39.52,20.05,19.47,97.11,111Y06M
68000,桃園市,68000090,龍潭區,98.97,2.75,1650.3,40.32,18.67,21.65,115.96,111Y06M
68000,桃園市,68000100,平鎮區,97.71,2.75,4755.49,39.36,20.15,19.21,95.33,111Y06M
68000,桃園市,68000110,新屋區,112.5,2.78,576.5,43.35,16.29,27.05,166.04,111Y06M
68000,桃園市,68000120,觀音區,107.16,2.7,812.56,36.4,17.78,18.62,104.7,111Y06M
68000,桃園市,68000130,復興區,113.54,3.27,36.64,41.01,21.89,19.12,87.37,111Y06M
66000,臺中市,66000010,中區,97.68,2.21,19833.01,62.73,28.66,34.07,118.86,111Y06M
66000,臺中市,66000020,東區,97.52,2.56,8093.26,40.66,16.22,24.45,150.75,111Y06M
66000,臺中市,66000030,南區,91.43,2.47,18336.59,35.24,16.81,18.42,109.59,111Y06M
66000,臺中市,66000040,西區,89.66,2.42,19586.45,46.9,20.67,26.23,126.87,111Y06M
66000,臺中市,66000050,北區,90.73,2.35,20496.43,42.31,16.45,25.85,157.14,111Y06M
66000,臺中市,66000060,西屯區,91.44,2.51,5762.66,38.39,20.86,17.53,84,111Y06M
66000,臺中市,66000070,南屯區,91,2.57,5625.73,37.13,21.62,15.51,71.73,111Y06M
66000,臺中市,66000080,北屯區,90.9,2.59,4637.47,38.76,19.97,18.79,94.13,111Y06M
66000,臺中市,66000090,豐原區,96.73,2.94,3962.22,43.23,19.77,23.46,118.67,111Y06M
66000,臺中市,66000100,東勢區,104.49,2.74,407.81,46.88,14.35,32.53,226.7,111Y06M
66000,臺中市,66000110,大甲區,100.31,3.1,1279.77,43.48,20.03,23.45,117.06,111Y06M
66000,臺中市,66000120,清水區,103.98,2.89,1378.46,41.22,18.23,22.99,126.12,111Y06M
66000,臺中市,66000130,沙鹿區,100.97,2.97,2380.03,41.36,23.07,18.29,79.31,111Y06M
66000,臺中市,66000140,梧棲區,100.4,3.02,3582.32,39.24,20.21,19.02,94.09,111Y06M
66000,臺中市,66000150,后里區,101.82,3.15,910.42,42.64,18.86,23.78,126.05,111Y06M
66000,臺中市,66000160,神岡區,103.82,3.17,1838.63,38.96,17.19,21.77,126.65,111Y06M
66000,臺中市,66000170,潭子區,96.85,2.85,4200.9,36.22,17.87,18.35,102.67,111Y06M
66000,臺中市,66000180,大雅區,98.62,3.07,2933.86,36.25,19.75,16.5,83.54,111Y06M
66000,臺中市,66000190,新社區,106.56,3,339.73,44.56,13.83,30.73,222.2,111Y06M
66000,臺中市,66000200,石岡區,106.31,2.89,783.17,43.48,13.23,30.25,228.67,111Y06M
66000,臺中市,66000210,外埔區,103.87,3.13,738.58,37.72,15.38,22.34,145.32,111Y06M
66000,臺中市,66000220,大安區,111.73,3.24,1607.2,39.05,13.19,25.86,196.07,111Y06M
66000,臺中市,66000230,烏日區,99.64,2.78,1782.61,38.84,19.19,19.65,102.42,111Y06M
66000,臺中市,66000240,大肚區,103.59,3,1516.01,38.76,16.83,21.93,130.27,111Y06M
66000,臺中市,66000250,龍井區,100.64,3.13,2039.13,36.15,18.27,17.88,97.91,111Y06M
66000,臺中市,66000260,霧峰區,102.12,3.04,654.05,40.86,16.42,24.44,148.86,111Y06M
66000,臺中市,66000270,太平區,97.28,2.8,1616.58,37.88,18.89,18.99,100.55,111Y06M
66000,臺中市,66000280,大里區,95.48,2.86,7312.28,37.98,19.59,18.39,93.85,111Y06M
66000,臺中市,66000290,和平區,114.31,2.33,10.54,41.62,13.9,27.73,199.53,111Y06M
67000,臺南市,67000010,新營區,97.09,2.52,1945.58,44.86,17.33,27.52,158.78,111Y06M
67000,臺南市,67000020,鹽水區,108.56,2.41,469.72,45.03,13.15,31.88,242.47,111Y06M
67000,臺南市,67000030,白河區,108.94,2.48,209.18,53.29,11.87,41.42,349.05,111Y06M
67000,臺南市,67000040,柳營區,108.59,2.56,334.36,44.74,11.58,33.16,286.28,111Y06M
67000,臺南市,67000050,後壁區,106.94,2.53,305.46,52.12,10.81,41.31,382.32,111Y06M
67000,臺南市,67000060,東山區,114.64,2.4,156.25,49.1,10.28,38.82,377.56,111Y06M
67000,臺南市,67000070,麻豆區,102.71,2.66,797.08,46.52,15.59,30.93,198.45,111Y06M
67000,臺南市,67000080,下營區,107.29,2.44,680.07,47.32,12.8,34.52,269.71,111Y06M
67000,臺南市,67000090,六甲區,107.41,2.66,316.24,44.53,14.01,30.51,217.77,111Y06M
67000,臺南市,67000100,官田區,103.82,2.56,295.16,39.09,12.21,26.89,220.23,111Y06M
67000,臺南市,67000110,大內區,116.6,2.43,126.92,52.7,9.82,42.88,436.59,111Y06M
67000,臺南市,67000120,佳里區,97.46,2.7,1492.11,42.74,16.23,26.51,163.31,111Y06M
67000,臺南市,67000130,學甲區,105.09,2.53,459.77,40.89,12.27,28.62,233.26,111Y06M
67000,臺南市,67000140,西港區,101.84,2.82,729.98,39.85,13.72,26.13,190.49,111Y06M
67000,臺南市,67000150,七股區,106.87,2.73,195.96,43.15,11.82,31.32,264.89,111Y06M
67000,臺南市,67000160,將軍區,103.97,2.63,446.62,43.45,9.43,34.02,360.58,111Y06M
67000,臺南市,67000170,北門區,100.94,2.52,233.06,37.68,8.73,28.95,331.44,111Y06M
67000,臺南市,67000180,新化區,103.07,2.85,685.2,41.61,14.59,27.02,185.14,111Y06M
67000,臺南市,67000190,善化區,101.17,2.59,931.9,45.75,23.03,22.71,98.6,111Y06M
67000,臺南市,67000200,新市區,101.18,2.76,782.48,40.19,19.49,20.7,106.25,111Y06M
67000,臺南市,67000210,安定區,105.79,2.82,958.14,38.33,14.71,23.62,160.5,111Y06M
67000,臺南市,67000220,山上區,111.58,2.57,250.3,44.08,11.36,32.73,288.18,111Y06M
67000,臺南市,67000230,玉井區,107.19,2.56,173.18,50.35,12.15,38.2,314.31,111Y06M
67000,臺南市,67000240,楠西區,111.41,2.57,81.45,48.83,9.95,38.88,390.79,111Y06M
67000,臺南市,67000250,南化區,116.87,2.92,47.74,51.12,11.79,39.32,333.49,111Y06M
67000,臺南市,67000260,左鎮區,131.93,2.34,58.77,55.49,7.59,47.9,630.7,111Y06M
67000,臺南市,67000270,仁德區,101.09,2.59,1505.11,38.46,15.55,22.91,147.36,111Y06M
67000,臺南市,67000280,歸仁區,101.81,2.87,1216.55,38.96,17.28,21.67,125.42,111Y06M
67000,臺南市,67000290,關廟區,105.16,2.88,625.94,43.33,13.14,30.2,229.9,111Y06M
67000,臺南市,67000300,龍崎區,118.36,2.44,56.6,53.23,6.46,46.77,723.53,111Y06M
67000,臺南市,67000310,永康區,96.2,2.63,5801.55,35.47,17.61,17.87,101.49,111Y06M
67000,臺南市,67000320,東區,91.27,2.47,19407.89,44.01,19.84,24.17,121.85,111Y06M
67000,臺南市,67000330,南區,96.78,2.55,17777.27,40.59,12.96,27.63,213.1,111Y06M
67000,臺南市,67000340,北區,93.75,2.45,18198.94,41.3,16.04,25.26,157.48,111Y06M
67000,臺南市,67000350,安南區,100.98,2.88,1842.31,37.54,18.98,18.56,97.81,111Y06M
67000,臺南市,67000360,安平區,89.87,2.43,6084.87,33.54,16.22,17.32,106.79,111Y06M
67000,臺南市,67000370,中西區,93.26,2.36,12293.93,54.06,23.01,31.05,134.97,111Y06M
64000,高雄市,64000010,鹽埕區,97.55,2.1,15910.6,49.25,11.12,38.13,342.82,111Y06M
64000,高雄市,64000020,鼓山區,92.06,2.31,9410.87,46.52,21.55,24.97,115.86,111Y06M
64000,高雄市,64000030,左營區,91.18,2.38,10029.77,38.03,17.8,20.23,113.66,111Y06M
64000,高雄市,64000040,楠梓區,95.35,2.48,7349.58,39.9,20.22,19.67,97.29,111Y06M
64000,高雄市,64000050,三民區,92.66,2.36,16677.6,43.13,16.43,26.69,162.44,111Y06M
64000,高雄市,64000060,新興區,92.11,2.11,24594.21,53.98,16.29,37.69,231.34,111Y06M
64000,高雄市,64000070,前金區,88.95,1.96,14114.57,50.35,11.52,38.83,337.2,111Y06M
64000,高雄市,64000080,苓雅區,91.3,2.23,19906.53,50.8,16.43,34.37,209.13,111Y06M
64000,高雄市,64000090,前鎮區,95.95,2.27,9446.78,42.75,14.54,28.21,193.98,111Y06M
64000,高雄市,64000100,旗津區,104.94,2.48,18376.94,36.75,11.2,25.54,227.99,111Y06M
64000,高雄市,64000110,小港區,97.66,2.23,3406.08,37.71,16.37,21.35,130.44,111Y06M
64000,高雄市,64000120,鳳山區,95.04,2.43,13287.08,40.76,17.65,23.12,131.01,111Y06M
64000,高雄市,64000130,林園區,100.75,2.53,2122.44,37.26,15.1,22.16,146.76,111Y06M
64000,高雄市,64000140,大寮區,103.78,2.53,1568.4,35.82,13.53,22.29,164.77,111Y06M
64000,高雄市,64000150,大樹區,104.7,2.91,609.55,39.75,12.59,27.16,215.66,111Y06M
64000,高雄市,64000160,大社區,102.97,2.51,1267.87,35.64,12.18,23.46,192.6,111Y06M
64000,高雄市,64000170,仁武區,101.67,2.44,2613.94,34.4,15.97,18.43,115.36,111Y06M
64000,高雄市,64000180,鳥松區,101.61,2.28,1785.57,39.91,11.94,27.96,234.09,111Y06M
64000,高雄市,64000190,岡山區,97.63,2.67,1984.31,41.56,17.65,23.91,135.53,111Y06M
64000,高雄市,64000200,橋頭區,100.22,2.5,1546.62,40.63,14.6,26.04,178.36,111Y06M
64000,高雄市,64000210,燕巢區,110.54,2.67,443.43,39.63,12.05,27.59,228.98,111Y06M
64000,高雄市,64000220,田寮區,123.85,2.19,72.6,54.37,7.78,46.59,599.12,111Y06M
64000,高雄市,64000230,阿蓮區,101.28,2.92,801.24,40.24,15,25.24,168.31,111Y06M
64000,高雄市,64000240,路竹區,102.64,2.91,1048.85,44.14,17.91,26.23,146.43,111Y06M
64000,高雄市,64000250,湖內區,103.28,2.62,1461.2,37.76,13.94,23.82,170.79,111Y06M
64000,高雄市,64000260,茄萣區,104.49,2.76,1877.63,39.87,13.14,26.72,203.34,111Y06M
64000,高雄市,64000270,永安區,99.5,2.36,605.55,34.61,12.75,21.86,171.47,111Y06M
64000,高雄市,64000280,彌陀區,104.11,2.71,1253.21,39.71,13.65,26.07,190.99,111Y06M
64000,高雄市,64000290,梓官區,105.42,2.68,3009.13,36.68,12.47,24.21,194.13,111Y06M
64000,高雄市,64000300,旗山區,105.66,2.54,367.82,48.43,13.52,34.92,258.31,111Y06M
64000,高雄市,64000310,美濃區,111.24,2.51,312.89,53.78,10.82,42.96,396.97,111Y06M
64000,高雄市,64000320,六龜區,116.44,2.21,61.86,46.89,10.38,36.51,351.59,111Y06M
64000,高雄市,64000330,甲仙區,111.08,2.5,46.07,44.48,10.04,34.44,343.07,111Y06M
64000,高雄市,64000340,杉林區,120.38,2.36,107.39,47.45,10.02,37.43,373.52,111Y06M
64000,高雄市,64000350,內門區,118.27,2.67,142.8,45.16,9.2,35.96,391.1,111Y06M
64000,高雄市,64000360,茂林區,99.17,3.07,9.9,29.47,17.19,12.27,71.37,111Y06M
64000,高雄市,64000370,桃源區,109.25,3.11,4.58,30.99,18.92,12.08,63.84,111Y06M
64000,高雄市,64000380,那瑪夏區,104.77,3.66,12.55,39.24,25.69,13.55,52.73,111Y06M
10002,宜蘭縣,10002010,宜蘭市,94.81,2.52,3214.74,44.06,19.32,24.74,128.06,111Y06M
10002,宜蘭縣,10002020,羅東鎮,89.36,2.62,6183.27,50.03,23.17,26.86,115.94,111Y06M
10002,宜蘭縣,10002030,蘇澳鎮,103.08,2.63,427.55,44.48,13.61,30.87,226.77,111Y06M
10002,宜蘭縣,10002040,頭城鎮,106.03,2.7,282.25,41.61,14.44,27.17,188.22,111Y06M
10002,宜蘭縣,10002050,礁溪鄉,107.05,2.4,343.59,41.52,13.69,27.83,203.23,111Y06M
10002,宜蘭縣,10002060,壯圍鄉,109.9,2.61,633.03,35.95,11.09,24.87,224.32,111Y06M
10002,宜蘭縣,10002070,員山鄉,111.31,2.62,284.73,37.56,12.21,25.35,207.64,111Y06M
10002,宜蘭縣,10002080,冬山鄉,102.97,2.61,660.27,41.18,15.55,25.63,164.84,111Y06M
10002,宜蘭縣,10002090,五結鄉,103.94,2.52,1039.52,37.94,13.32,24.62,184.8,111Y06M
10002,宜蘭縣,10002100,三星鄉,117.24,2.34,147.27,40.21,10.48,29.73,283.81,111Y06M
10002,宜蘭縣,10002110,大同鄉,115.76,3.09,9.37,37.39,21.58,15.81,73.24,111Y06M
10002,宜蘭縣,10002120,南澳鄉,105.28,2.94,8.14,41.39,25.94,15.45,59.58,111Y06M
10004,新竹縣,10004010,竹北市,98.97,2.65,4417.93,44.26,31.97,12.29,38.43,111Y06M
10004,新竹縣,10004020,竹東鎮,101.7,2.68,1797.85,40.34,18.99,21.35,112.4,111Y06M
10004,新竹縣,10004030,新埔鎮,114.49,2.81,455.54,41.91,12.44,29.47,236.87,111Y06M
10004,新竹縣,10004040,關西鎮,115.9,2.9,217.17,46.48,13.77,32.71,237.59,111Y06M
10004,新竹縣,10004050,湖口鄉,102.13,2.69,1373.12,37.98,19.03,18.95,99.61,111Y06M
10004,新竹縣,10004060,新豐鄉,104.87,2.87,1258.26,38.59,21.11,17.48,82.78,111Y06M
10004,新竹縣,10004070,芎林鄉,112.15,2.8,487.65,38.48,12.34,26.15,211.91,111Y06M
10004,新竹縣,10004080,橫山鄉,118.84,2.79,184.17,47.98,12.46,35.52,285.03,111Y06M
10004,新竹縣,10004090,北埔鄉,121.3,2.81,172.04,43.92,11.24,32.67,290.6,111Y06M
10004,新竹縣,10004100,寶山鄉,118.67,2.43,221.11,33.31,10.3,23,223.31,111Y06M
10004,新竹縣,10004110,峨眉鄉,122.09,2.54,113.65,53.6,10.19,43.4,425.78,111Y06M
10004,新竹縣,10004120,尖石鄉,108.42,3.22,18.07,39.86,25.6,14.26,55.7,111Y06M
10004,新竹縣,10004130,五峰鄉,117.27,2.58,20,35.21,16.18,19.03,117.61,111Y06M
10005,苗栗縣,10005010,苗栗市,99.04,2.65,2271.52,45.52,17.46,28.06,160.76,111Y06M
10005,苗栗縣,10005020,苑裡鎮,109.42,2.89,644.44,38.31,13.76,24.54,178.32,111Y06M
10005,苗栗縣,10005030,通霄鎮,112.42,2.78,298.08,44.12,12.03,32.1,266.83,111Y06M
10005,苗栗縣,10005040,竹南鎮,101.72,2.72,2326.62,41.22,22.29,18.93,84.91,111Y06M
10005,苗栗縣,10005050,頭份市,101.52,2.74,1968.81,40.56,20.63,19.93,96.61,111Y06M
10005,苗栗縣,10005060,後龍鎮,112.1,2.83,454.9,41.88,14.11,27.77,196.76,111Y06M
10005,苗栗縣,10005070,卓蘭鎮,109.7,2.67,205.15,47.23,12.39,34.83,281.03,111Y06M
10005,苗栗縣,10005080,大湖鄉,114.37,2.56,146.64,46.05,11.57,34.48,298.1,111Y06M
10005,苗栗縣,10005090,公館鄉,108.85,2.91,442.14,42.6,14.83,27.76,187.19,111Y06M
10005,苗栗縣,10005100,銅鑼鄉,112.79,2.74,213.52,44.95,13.77,31.18,226.42,111Y06M
10005,苗栗縣,10005110,南庄鄉,123.19,2.38,55.31,44.73,11.1,33.63,302.99,111Y06M
10005,苗栗縣,10005120,頭屋鄉,113.03,2.78,191.18,44.22,11.34,32.89,290.11,111Y06M
10005,苗栗縣,10005130,三義鄉,112.6,2.72,220.53,42.29,14.24,28.05,197.06,111Y06M
10005,苗栗縣,10005140,西湖鄉,127.91,2.49,158.63,44.58,7.5,37.08,494.38,111Y06M
10005,苗栗縣,10005150,造橋鄉,113.26,2.85,245.57,41.48,11.67,29.82,255.56,111Y06M
10005,苗栗縣,10005160,三灣鄉,119.87,2.68,119.11,48.7,12.27,36.43,296.89,111Y06M
10005,苗栗縣,10005170,獅潭鄉,123.82,2.41,52.41,52.71,8.62,44.09,511.49,111Y06M
10005,苗栗縣,10005180,泰安鄉,117.23,2.88,9.34,34.8,13.86,20.94,151.02,111Y06M
10007,彰化縣,10007010,彰化市,96.52,2.89,3452.84,45.5,20.1,25.41,126.43,111Y06M
10007,彰化縣,10007020,鹿港鎮,102.57,3.35,2164,43.62,20.62,23,111.52,111Y06M
10007,彰化縣,10007030,和美鎮,102.94,3.21,2226.95,39,17.59,21.41,121.74,111Y06M
10007,彰化縣,10007040,線西鄉,106.59,3.57,904.48,38.74,16.21,22.54,139.04,111Y06M
10007,彰化縣,10007050,伸港鄉,101.54,3.5,1695.76,39.09,19.28,19.82,102.8,111Y06M
10007,彰化縣,10007060,福興鄉,108.95,3.42,912.77,38.98,15.27,23.71,155.26,111Y06M
10007,彰化縣,10007070,秀水鄉,105.85,3.41,1307.02,39.44,17.76,21.68,122.09,111Y06M
10007,彰化縣,10007080,花壇鄉,104.85,3.05,1221.73,37.59,14.62,22.98,157.2,111Y06M
10007,彰化縣,10007090,芬園鄉,110.83,3.31,594.23,43.06,13.61,29.44,216.28,111Y06M
10007,彰化縣,10007100,員林市,97.58,2.95,3050.78,45.25,20.59,24.66,119.78,111Y06M
10007,彰化縣,10007110,溪湖鎮,102.08,3.2,1688.31,43.73,20.82,22.9,109.98,111Y06M
10007,彰化縣,10007120,田中鎮,104.95,2.95,1149.7,44.39,15.28,29.11,190.55,111Y06M
10007,彰化縣,10007130,大村鄉,102.91,3.29,1301.96,37.95,16.84,21.11,125.37,111Y06M
10007,彰化縣,10007140,埔鹽鄉,110.29,3.36,814.98,40.39,13.26,27.13,204.61,111Y06M
10007,彰化縣,10007150,埔心鄉,105.48,3.04,1616.84,36.4,13.64,22.76,166.9,111Y06M
10007,彰化縣,10007160,永靖鄉,107.39,3.18,1728.2,40.74,15.65,25.09,160.38,111Y06M
10007,彰化縣,10007170,社頭鄉,105.25,3.13,1155.46,40.71,15.77,24.94,158.15,111Y06M
10007,彰化縣,10007180,二水鄉,110.49,2.69,483.68,49.87,11.84,38.03,321.24,111Y06M
10007,彰化縣,10007190,北斗鎮,100.16,2.95,1724.2,44.71,19.45,25.27,129.95,111Y06M
10007,彰化縣,10007200,二林鎮,105.04,3.16,525.06,45.36,15.37,30,195.25,111Y06M
10007,彰化縣,10007210,田尾鄉,106.53,3.17,1087.43,40.29,14.34,25.96,181.06,111Y06M
