縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數
"65000","新北市","65000010","板橋區","65000010-029","江翠里",94.77,2.39,38232.33,41.33010230443454434500,14.51265481569395400800,26.81744748874059033700,184.7866415866667100
"65000","新北市","65000010","板橋區","65000010-030","純翠里",89.42,2.54,50943.68,43.05735789175775813900,15.93563456632866998000,27.12172332542908815800,170.1954394622224100
"65000","新北市","65000010","板橋區","65000010-031","溪頭里",92.13,2.09,11698.50,36.08811353694735163600,17.85925487612961932600,18.22885866081773230900,102.0695363393464100
"65000","新北市","65000010","板橋區","65000010-032","聯翠里",85.72,2.22,56949.84,37.01416635052155236100,11.66000726056665192100,25.35415908995490044000,217.4454821886433600
"65000","新北市","65000010","板橋區","65000010-033","宏翠里",88.85,2.14,12584.44,35.55342596177445472900,15.35697172607643226500,20.19645423569802246400,131.5132603252523200
"65000","新北市","65000010","板橋區","65000010-034","仁翠里",95.46,2.58,69602.51,48.79581149277706204600,14.86910993985910474400,33.92670155291795730200,228.1690132810950200
"65000","新北市","65000010","板橋區","65000010-035","新翠里",88.60,2.50,66384.64,40.19162883842803347800,16.62464279431423049300,23.56698604411380298500,141.7593527383626400
"65000","新北市","65000010","板橋區","65000010-036","吉翠里",94.03,2.65,67851.46,45.18860660308367721200,17.28252501259333140400,27.90608159049034580800,161.4699328252340000
"65000","新北市","65000010","板橋區","65000010-037","德翠里",94.13,2.64,54841.89,33.40088429745746420500,14.92262343129649531500,18.47826086616096889000,123.8271603409541200
"65000","新北市","65000010","板橋區","65000010-038","滿翠里",92.42,2.56,50048.88,45.99508597248398723700,13.95577394891608159800,32.03931202356790564000,229.5774639803610400
"65000","新北市","65000010","板橋區","65000010-039","明翠里",93.74,2.40,46487.83,45.07867940602323992400,13.69947546630685730800,31.37920393971638261700,229.0540535381665500
"65000","新北市","65000010","板橋區","65000010-040","松翠里",92.58,2.33,46291.63,44.77876104213329157400,13.53982300285848539700,31.23893803927480617700,230.7189534943825000
"65000","新北市","65000010","板橋區","65000010-041","柏翠里",90.01,2.15,6893.76,40.56703761511207270400,17.24960253914954887700,23.31743507596252382700,135.1766510980389400
