縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,88.54,2.35,26374.87,56.38397012,23.57875114,32.80521898,139.1304342,113Y06M
65000,新北市,65000010,板橋區,65000010-002,流芳里,81.98,2.33,33083.59,60.04343099,24.86427793,35.17915306,141.4847155,113Y06M
65000,新北市,65000010,板橋區,65000010-003,赤松里,84.73,2.13,67882.91,49.99999993,23.43324247,26.56675746,113.3720924,113Y06M
65000,新北市,65000010,板橋區,65000010-004,黃石里,92.37,2.42,13391.35,65.47029695,35.27227718,30.19801976,85.61403479,113Y06M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,94.63,2.33,16142.5,66.60988069,28.19420781,38.41567288,136.253776,113Y06M
65000,新北市,65000010,板橋區,65000010-006,湳興里,92.53,2.25,27747.72,43.91592919,15.73561946,28.18030973,179.0861157,113Y06M
65000,新北市,65000010,板橋區,65000010-007,新興里,86.22,2.01,36419.88,41.25579434,12.72650653,28.52928781,224.1721847,113Y06M
65000,新北市,65000010,板橋區,65000010-008,社後里,131.37,1.69,57683.94,44.09965034,9.09090909,35.00874125,385.0961532,113Y06M
65000,新北市,65000010,板橋區,65000010-009,香社里,96.97,2.48,16583.85,41.07086613,13.92125984,27.14960629,195.022624,113Y06M
65000,新北市,65000010,板橋區,65000010-010,中正里,93.17,2.14,9195.8,38.55443082,19.17954182,19.374889,101.0185184,113Y06M
65000,新北市,65000010,板橋區,65000010-011,自強里,95.71,2.41,60787.57,65.43733679,18.76631853,46.67101826,248.6956517,113Y06M
65000,新北市,65000010,板橋區,65000010-012,自立里,90.25,2.45,55061.45,49.37124109,13.88737014,35.48387095,255.51181,113Y06M
65000,新北市,65000010,板橋區,65000010-013,光華里,97.49,2.33,45079.76,49.42462598,14.72957421,34.69505176,235.5468741,113Y06M
65000,新北市,65000010,板橋區,65000010-014,國光里,93.78,2.35,80171.66,47.07307225,10.17359709,36.89947516,362.6984113,113Y06M
65000,新北市,65000010,板橋區,65000010-015,港尾里,92.88,2.6,71476.3,46.51977965,19.52929393,26.99048572,138.2051279,113Y06M
65000,新北市,65000010,板橋區,65000010-016,金華里,94.14,2.57,56951.76,49.64925953,16.3289166,33.32034293,204.0572787,113Y06M
65000,新北市,65000010,板橋區,65000010-017,港德里,95.91,2.43,69273.23,49.42047648,14.81004507,34.61043141,233.6956517,113Y06M
65000,新北市,65000010,板橋區,65000010-018,民權里,92.04,2.42,60779.59,61.17021273,21.04018911,40.13002362,190.7303365,113Y06M
65000,新北市,65000010,板橋區,65000010-019,建國里,89.92,2.41,51197.69,46.84370917,14.62777535,32.21593381,220.2380946,113Y06M
65000,新北市,65000010,板橋區,65000010-020,漢生里,92.24,2.5,41636.86,68.15884474,28.88086642,39.27797833,135.9999998,113Y06M
65000,新北市,65000010,板橋區,65000010-021,公?里,96.91,2.53,51185.76,54.02029662,22.59953161,31.42076502,139.032815,113Y06M
65000,新北市,65000010,板橋區,65000010-022,新民里,93.09,2.58,14819.24,63.51156067,30.05780346,33.45375721,111.2980768,113Y06M
65000,新北市,65000010,板橋區,65000010-023,幸福里,93.31,2.46,36721.32,44.1793203,14.64208242,29.53723788,201.7283946,113Y06M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,89.18,2.47,34766,59.32568147,25.96843615,33.35724533,128.4530385,113Y06M
65000,新北市,65000010,板橋區,65000010-025,百壽里,83.41,2.39,56641.28,60.04195068,30.41426322,29.62768745,97.41379294,113Y06M
65000,新北市,65000010,板橋區,65000010-026,介壽里,93.91,2.42,41290.53,59.24690178,28.5033365,30.74356529,107.8595316,113Y06M
65000,新北市,65000010,板橋區,65000010-027,新埔里,94.24,2.3,33253.23,48.60499262,12.041116,36.56387663,303.6585347,113Y06M
65000,新北市,65000010,板橋區,65000010-028,華江里,83.98,2.31,66973.33,52.8194418,28.93487753,23.88456426,82.5459317,113Y06M
65000,新北市,65000010,板橋區,65000010-029,江翠里,95.43,2.36,38348.87,43.14845023,14.4915715,28.65687873,197.7485925,113Y06M
65000,新北市,65000010,板橋區,65000010-030,純翠里,90.49,2.43,52570.33,42.87867369,15.17206732,27.70660637,182.6158937,113Y06M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,93.1,2.04,12797.81,36.02593543,17.88464136,18.14129407,101.4350452,113Y06M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,87.32,2.19,56225.13,38.07934741,11.34593993,26.73340748,235.6209143,113Y06M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,89.27,2.07,13256.14,35.362253,14.21757892,21.14467408,148.7220445,113Y06M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,95.38,2.53,68329.03,50.81081078,14.16216215,36.64864863,258.778625,113Y06M
65000,新北市,65000010,板橋區,65000010-035,新翠里,89.55,2.46,65676.22,42.18507668,16.00896088,26.1761158,163.5091494,113Y06M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,94.51,2.58,66898.09,46.47499014,16.81764474,29.6573454,176.3466038,113Y06M
65000,新北市,65000010,板橋區,65000010-037,德翠里,94.35,2.59,53933.03,34.13072141,13.52420418,20.60651723,152.3676878,113Y06M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,93.06,2.53,49695.11,48.09236945,13.70481927,34.38755018,250.91575,113Y06M
65000,新北市,65000010,板橋區,65000010-039,明翠里,91.29,2.38,45825.41,46.35301546,13.29333754,33.05967792,248.6935861,113Y06M
65000,新北市,65000010,板橋區,65000010-040,松翠里,89.65,2.3,46659.48,47.56152123,13.87024608,33.69127515,242.903225,113Y06M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,87.62,2.04,7565.59,38.32264195,15.91827037,22.40437158,140.7462684,113Y06M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,94.06,2.45,50067.46,39.92673992,12.62327416,27.30346576,216.2946424,113Y06M
65000,新北市,65000010,板橋區,65000010-043,華翠里,93.11,2.49,39539.18,49.46282765,17.74817361,31.71465405,178.6924935,113Y06M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,88.46,2.33,45961.68,38.62104058,17.63134461,20.98969596,119.047619,113Y06M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,99.57,2.45,51570.87,46.2789243,13.38336459,32.8955597,245.7943914,113Y06M
65000,新北市,65000010,板橋區,65000010-046,文翠里,95.88,2.49,44446.52,45.77491472,13.98256915,31.79234557,227.3712731,113Y06M
65000,新北市,65000010,板橋區,65000010-047,青翠里,102.1,2.48,51386.97,45.48560271,13.9580283,31.52757441,225.8741251,113Y06M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,96.69,2.67,24176.82,39.79686056,13.36565097,26.4312096,197.7547492,113Y06M
65000,新北市,65000010,板橋區,65000010-049,福翠里,100.45,2.34,8084.26,46.42464241,12.10121011,34.32343231,283.6363611,113Y06M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,96.78,2.45,33948.69,40.13718069,11.82592242,28.31125827,239.3999995,113Y06M
65000,新北市,65000010,板橋區,65000010-051,振興里,92.66,2.51,34774.64,42.70937603,10.77744411,31.93193192,296.2848288,113Y06M
65000,新北市,65000010,板橋區,65000010-052,振義里,95.19,2.47,13987.99,38.64701941,11.41995981,27.2270596,238.4164216,113Y06M
65000,新北市,65000010,板橋區,65000010-053,光復里,100.84,2.41,8642.54,39.71690256,12.98917568,26.72772688,205.7692301,113Y06M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,88.32,2.34,48565.57,38.42070338,11.67883211,26.74187126,228.9772723,113Y06M
65000,新北市,65000010,板橋區,65000010-055,長壽里,99.51,2.58,30223.23,51.21052629,16.26315789,34.9473684,214.8867307,113Y06M
65000,新北市,65000010,板橋區,65000010-056,福壽里,93.19,2.5,29024.95,40.19776439,12.08082545,28.11693894,232.7402127,113Y06M
65000,新北市,65000010,板橋區,65000010-057,海山里,89.39,2.85,68721.4,51.84020713,27.26095801,24.57924912,90.16282219,113Y06M
65000,新北市,65000010,板橋區,65000010-058,九如里,96.3,2.6,41164.87,47.29661443,17.78676098,29.50985345,165.9090904,113Y06M
65000,新北市,65000010,板橋區,65000010-059,玉光里,89.63,2.46,48906.96,47.71794871,23.89743589,23.82051281,99.67811148,113Y06M
65000,新北市,65000010,板橋區,65000010-060,光仁里,98.09,2.74,24510.13,52.52100838,21.79621848,30.7247899,140.9638551,113Y06M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,91.91,2.56,67587.95,52.54019291,27.39549838,25.14469453,91.78403745,113Y06M
65000,新北市,65000010,板橋區,65000010-062,永安里,90.2,2.57,60178.74,52.67441858,26.124031,26.55038759,101.6320473,113Y06M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,94.74,2.69,44808.48,46.63477962,21.04543901,25.58934061,121.5909089,113Y06M
65000,新北市,65000010,板橋區,65000010-064,廣新里,94.11,2.8,50390.1,54.86577179,23.53187918,31.3338926,133.15508,113Y06M
65000,新北市,65000010,板橋區,65000010-065,深丘里,91.36,2.42,27019.79,57.30508474,30.55932203,26.74576271,87.52079862,113Y06M
65000,新北市,65000010,板橋區,65000010-066,香丘里,91.48,2.55,41354.83,59.5648604,29.47454843,30.09031197,102.0891363,113Y06M
65000,新北市,65000010,板橋區,65000010-067,西安里,94,2.57,35915.05,56.73719373,24.9443207,31.79287303,127.4553569,113Y06M
65000,新北市,65000010,板橋區,65000010-068,東丘里,93.18,2.75,40966.53,51.39248703,20.88730569,30.50518134,146.0465114,113Y06M
65000,新北市,65000010,板橋區,65000010-069,長安里,90.69,2.76,42482.22,53.63872643,28.42755035,25.21117608,88.68571418,113Y06M
65000,新北市,65000010,板橋區,65000010-070,福丘里,84.99,2.27,20848.22,53.23845482,24.94917223,28.28928259,113.3876599,113Y06M
65000,新北市,65000010,板橋區,65000010-071,福祿里,89.04,2.45,46111.56,51.67077029,22.82799859,28.84277171,126.3482278,113Y06M
65000,新北市,65000010,板橋區,65000010-072,民族里,91.99,2.66,52747.19,62.62120736,35.81482639,26.80638097,74.84716151,113Y06M
65000,新北市,65000010,板橋區,65000010-073,國泰里,91.31,2.5,38027.19,46.51347066,18.02694136,28.48652931,158.0219777,113Y06M
65000,新北市,65000010,板橋區,65000010-074,福德里,98.11,2.57,36010.75,46.61138117,16.47126108,30.14012009,182.9861108,113Y06M
65000,新北市,65000010,板橋區,65000010-075,景星里,89.58,2.13,42881.91,43.8026474,15.12234255,28.68030484,189.6551719,113Y06M
