縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數
"68000","桃園市","68000130","復興區",111.4300000000000000,3.28,37.29,42.41,22.07,20.34,92.16
"66000","臺中市","66000010","中區",96.2400000000000000,2.17,20165.85,64.86,29.16,35.70,122.42
"66000","臺中市","66000020","東區",97.1100000000000000,2.53,8209.14,41.50,15.92,25.58,160.69
"66000","臺中市","66000030","南區",91.1000000000000000,2.45,18540.11,35.78,16.27,19.50,119.85
"66000","臺中市","66000040","西區",89.1800000000000000,2.41,19898.50,48.29,20.63,27.66,134.03
"66000","臺中市","66000050","北區",90.2300000000000000,2.33,20696.35,43.42,16.05,27.37,170.59
"66000","臺中市","66000060","西屯區",90.9800000000000000,2.49,5874.29,39.20,20.56,18.64,90.68
"66000","臺中市","66000070","南屯區",90.7600000000000000,2.55,5768.90,37.68,21.25,16.44,77.34
"66000","臺中市","66000080","北屯區",90.4700000000000000,2.55,4796.33,39.49,19.83,19.67,99.18
"66000","臺中市","66000090","豐原區",96.6600000000000000,2.91,3981.30,44.03,19.46,24.57,126.25
"66000","臺中市","66000100","東勢區",103.7800000000000000,2.71,405.82,47.79,13.91,33.88,243.45
"66000","臺中市","66000110","大甲區",100.2700000000000000,3.05,1279.10,44.21,19.73,24.48,124.07
"66000","臺中市","66000120","清水區",103.6600000000000000,2.83,1397.66,41.43,17.91,23.52,131.36
"66000","臺中市","66000130","沙鹿區",100.4600000000000000,2.93,2420.02,41.47,22.70,18.77,82.65
"66000","臺中市","66000140","梧棲區",100.1800000000000000,2.97,3636.70,40.10,20.09,20.01,99.58
"66000","臺中市","66000150","后里區",101.1300000000000000,3.11,911.49,42.83,18.35,24.48,133.41
"66000","臺中市","66000160","神岡區",103.6000000000000000,3.13,1835.87,39.74,16.79,22.95,136.69
"66000","臺中市","66000170","潭子區",96.8200000000000000,2.83,4211.62,36.94,17.46,19.48,111.56
"66000","臺中市","66000180","大雅區",98.7000000000000000,3.04,2949.32,37.13,19.40,17.73,91.40
"66000","臺中市","66000190","新社區",106.3800000000000000,2.95,336.74,44.71,13.34,31.37,235.22
"66000","臺中市","66000200","石岡區",106.8000000000000000,2.87,776.31,44.64,12.91,31.73,245.72
"66000","臺中市","66000210","外埔區",104.2300000000000000,3.08,733.89,38.44,15.19,23.25,153.06
"66000","臺中市","66000220","大安區",111.8600000000000000,3.19,1598.83,39.52,12.95,26.57,205.16
"66000","臺中市","66000230","烏日區",98.8600000000000000,2.71,1827.52,39.43,19.10,20.33,106.47
"66000","臺中市","66000240","大肚區",103.4000000000000000,2.95,1514.87,39.21,16.32,22.89,140.28
"66000","臺中市","66000250","龍井區",100.6100000000000000,3.07,2055.88,36.57,17.87,18.70,104.64
"66000","臺中市","66000260","霧峰區",102.0700000000000000,3.00,653.38,42.15,16.25,25.89,159.31
"66000","臺中市","66000270","太平區",96.8600000000000000,2.77,1632.90,38.89,18.76,20.13,107.29
"66000","臺中市","66000280","大里區",95.2500000000000000,2.83,7352.21,39.04,19.34,19.70,101.85
"66000","臺中市","66000290","和平區",113.4800000000000000,2.30,10.46,43.65,14.05,29.60,210.74
"67000","臺南市","67000010","新營區",96.7400000000000000,2.50,1947.01,45.92,17.18,28.74,167.33
"67000","臺南市","67000020","鹽水區",108.3300000000000000,2.39,465.99,45.96,12.99,32.97,253.92
"67000","臺南市","67000030","白河區",108.9800000000000000,2.46,206.28,54.13,11.72,42.40,361.78
"67000","臺南市","67000040","柳營區",108.2900000000000000,2.52,332.80,45.51,11.54,33.98,294.56
"67000","臺南市","67000050","後壁區",106.6900000000000000,2.50,300.97,52.73,10.43,42.30,405.66
"67000","臺南市","67000060","東山區",113.9400000000000000,2.39,154.55,50.30,10.16,40.14,395.10
"67000","臺南市","67000070","麻豆區",102.3100000000000000,2.63,796.41,47.71,15.59,32.12,206.02
"67000","臺南市","67000080","下營區",106.5900000000000000,2.41,673.15,48.65,12.91,35.74,276.89
"67000","臺南市","67000090","六甲區",106.7900000000000000,2.63,315.17,45.80,14.10,31.69,224.77
"67000","臺南市","67000100","官田區",103.9200000000000000,2.54,294.44,39.74,12.19,27.55,225.89
"67000","臺南市","67000110","大內區",116.5100000000000000,2.41,125.14,53.91,9.78,44.13,451.34
"67000","臺南市","67000120","佳里區",97.5500000000000000,2.67,1495.91,44.03,16.20,27.83,171.81
"67000","臺南市","67000130","學甲區",105.2800000000000000,2.51,457.99,42.16,12.01,30.15,251.03
"67000","臺南市","67000140","西港區",101.3400000000000000,2.77,734.78,40.88,13.84,27.03,195.28
"67000","臺南市","67000150","七股區",107.1800000000000000,2.69,193.60,43.68,11.57,32.11,277.58
"67000","臺南市","67000160","將軍區",104.1600000000000000,2.60,439.88,44.85,9.46,35.39,374.13
"67000","臺南市","67000170","北門區",101.3400000000000000,2.51,228.96,39.10,8.55,30.54,357.00
"67000","臺南市","67000180","新化區",102.6100000000000000,2.83,686.71,42.58,14.52,28.06,193.32
"67000","臺南市","67000190","善化區",100.6900000000000000,2.56,942.40,46.25,22.95,23.30,101.53
"67000","臺南市","67000200","新市區",100.9500000000000000,2.73,785.91,41.13,19.45,21.68,111.49
"67000","臺南市","67000210","安定區",105.1900000000000000,2.78,958.84,39.39,14.53,24.86,171.14
"67000","臺南市","67000220","山上區",111.7800000000000000,2.55,250.91,45.00,11.46,33.54,292.59
"67000","臺南市","67000230","玉井區",106.8400000000000000,2.53,171.93,51.22,12.04,39.18,325.55
"67000","臺南市","67000240","楠西區",111.1800000000000000,2.55,80.13,49.79,9.43,40.36,428.03
"67000","臺南市","67000250","南化區",115.8900000000000000,2.89,46.96,51.92,11.18,40.74,364.25
"67000","臺南市","67000260","左鎮區",132.8400000000000000,2.32,57.17,55.71,6.51,49.20,755.87
"67000","臺南市","67000270","仁德區",100.9000000000000000,2.57,1520.67,39.54,15.46,24.08,155.73
"67000","臺南市","67000280","歸仁區",101.5300000000000000,2.83,1228.18,40.14,17.19,22.95,133.56
"67000","臺南市","67000290","關廟區",105.2200000000000000,2.85,621.72,44.40,12.92,31.48,243.63
"67000","臺南市","67000300","龍崎區",118.8000000000000000,2.41,55.38,56.00,6.20,49.80,803.55
"67000","臺南市","67000310","永康區",95.9000000000000000,2.60,5833.33,36.43,17.33,19.10,110.24
"67000","臺南市","67000320","東區",90.9000000000000000,2.46,19536.59,45.42,19.70,25.71,130.50
"67000","臺南市","67000330","南區",96.4000000000000000,2.52,17799.00,41.99,12.82,29.16,227.42
"67000","臺南市","67000340","北區",93.5900000000000000,2.43,18209.90,41.96,15.60,26.36,168.97
"67000","臺南市","67000350","安南區",100.4600000000000000,2.83,1872.88,38.38,18.86,19.52,103.52
"67000","臺南市","67000360","安平區",89.2900000000000000,2.40,6209.30,34.12,15.73,18.38,116.83
"67000","臺南市","67000370","中西區",92.8300000000000000,2.35,12433.23,55.77,23.50,32.27,137.33
"64000","高雄市","64000010","鹽埕區",96.4200000000000000,2.10,15904.24,51.23,10.86,40.37,371.80
"64000","高雄市","64000020","鼓山區",91.5800000000000000,2.31,9508.35,47.57,21.34,26.23,122.96
"64000","高雄市","64000030","左營區",90.5900000000000000,2.37,10154.83,38.81,17.57,21.24,120.92
"64000","高雄市","64000040","楠梓區",95.1300000000000000,2.45,7443.28,40.76,20.10,20.66,102.82
"64000","高雄市","64000050","三民區",92.0800000000000000,2.34,16756.14,44.65,16.37,28.28,172.78
"64000","高雄市","64000060","新興區",91.0400000000000000,2.11,25058.69,56.07,16.79,39.28,233.93
"64000","高雄市","64000070","前金區",88.1100000000000000,1.96,14496.31,51.01,11.18,39.83,356.12
"64000","高雄市","64000080","苓雅區",90.6400000000000000,2.22,20061.46,52.29,16.39,35.90,219.06
"64000","高雄市","64000090","前鎮區",95.5200000000000000,2.26,9437.57,43.84,14.26,29.57,207.32
"64000","高雄市","64000100","旗津區",104.3200000000000000,2.46,18042.90,37.47,10.58,26.89,254.16
"64000","高雄市","64000110","小港區",96.9900000000000000,2.21,3410.39,38.89,16.16,22.73,140.68
"64000","高雄市","64000120","鳳山區",94.6300000000000000,2.41,13330.58,41.95,17.45,24.49,140.34
"64000","高雄市","64000130","林園區",100.3200000000000000,2.51,2115.22,38.38,14.99,23.39,156.10
"64000","高雄市","64000140","大寮區",103.0300000000000000,2.51,1572.85,36.79,13.40,23.39,174.52
"64000","高雄市","64000150","大樹區",103.7700000000000000,2.87,605.81,40.40,12.15,28.25,232.55
"64000","高雄市","64000160","大社區",102.2600000000000000,2.50,1266.21,37.08,12.15,24.93,205.13
"64000","高雄市","64000170","仁武區",101.0500000000000000,2.40,2670.48,35.07,15.70,19.37,123.36
"64000","高雄市","64000180","鳥松區",100.9300000000000000,2.26,1805.29,41.76,11.90,29.86,250.93
"64000","高雄市","64000190","岡山區",97.0300000000000000,2.66,1994.51,42.82,17.67,25.15,142.33
"64000","高雄市","64000200","橋頭區",99.9600000000000000,2.44,1582.09,40.85,14.19,26.66,187.91
"64000","高雄市","64000210","燕巢區",110.8000000000000000,2.65,441.13,40.88,11.88,29.00,244.06
"64000","高雄市","64000220","田寮區",122.7300000000000000,2.15,71.04,55.39,7.41,47.98,647.45
"64000","高雄市","64000230","阿蓮區",101.3200000000000000,2.90,796.30,41.54,15.02,26.52,176.58
"64000","高雄市","64000240","路竹區",102.3400000000000000,2.89,1043.92,45.23,17.85,27.38,153.40
"64000","高雄市","64000250","湖內區",102.8900000000000000,2.61,1471.37,38.52,13.86,24.66,177.87
"64000","高雄市","64000260","茄萣區",103.9800000000000000,2.74,1864.69,40.55,12.81,27.74,216.54
"64000","高雄市","64000270","永安區",99.6200000000000000,2.37,610.33,36.26,13.27,22.99,173.29
"64000","高雄市","64000280","彌陀區",103.8800000000000000,2.67,1244.48,39.68,13.21,26.47,200.40
"64000","高雄市","64000290","梓官區",105.0900000000000000,2.64,3000.51,37.43,12.16,25.27,207.69
"64000","高雄市","64000300","旗山區",105.3800000000000000,2.51,364.68,49.82,13.53,36.29,268.31
"64000","高雄市","64000310","美濃區",111.3700000000000000,2.47,309.97,55.45,10.80,44.64,413.19
"64000","高雄市","64000320","六龜區",115.7800000000000000,2.18,60.78,48.50,10.41,38.09,366.02
"64000","高雄市","64000330","甲仙區",111.4800000000000000,2.46,45.30,47.17,10.32,36.85,357.11
"64000","高雄市","64000340","杉林區",121.9700000000000000,2.33,105.78,49.19,10.02,39.16,390.80
"64000","高雄市","64000350","內門區",117.1700000000000000,2.61,139.29,45.88,8.80,37.09,421.67
"64000","高雄市","64000360","茂林區",97.8200000000000000,3.09,9.83,30.26,16.46,13.80,83.82
"64000","高雄市","64000370","桃源區",109.3000000000000000,3.08,4.58,32.08,19.04,13.04,68.52
"64000","高雄市","64000380","那瑪夏區",104.5100000000000000,3.64,12.55,39.48,25.12,14.36,57.17
"10002","宜蘭縣","10002010","宜蘭市",94.4500000000000000,2.49,3231.54,45.31,19.50,25.80,132.29
"10002","宜蘭縣","10002020","羅東鎮",89.2600000000000000,2.61,6186.62,51.28,23.08,28.19,122.15
"10002","宜蘭縣","10002030","蘇澳鎮",102.9900000000000000,2.60,423.00,45.26,13.42,31.84,237.25
"10002","宜蘭縣","10002040","頭城鎮",105.6900000000000000,2.65,280.83,42.09,14.22,27.87,196.05
"10002","宜蘭縣","10002050","礁溪鄉",106.7200000000000000,2.35,343.55,41.64,13.25,28.39,214.33
"10002","宜蘭縣","10002060","壯圍鄉",109.0900000000000000,2.58,634.59,37.58,11.44,26.14,228.41
"10002","宜蘭縣","10002070","員山鄉",111.5200000000000000,2.58,285.50,37.76,11.92,25.85,216.86
"10002","宜蘭縣","10002080","冬山鄉",102.4300000000000000,2.58,664.34,42.10,15.46,26.64,172.36
"10002","宜蘭縣","10002090","五結鄉",103.4300000000000000,2.49,1052.28,38.61,13.18,25.43,192.95
"10002","宜蘭縣","10002100","三星鄉",117.2500000000000000,2.31,146.96,40.96,10.57,30.39,287.60
"10002","宜蘭縣","10002110","大同鄉",115.8400000000000000,3.00,9.18,37.89,20.79,17.11,82.31
"10002","宜蘭縣","10002120","南澳鄉",104.8000000000000000,2.93,8.24,42.91,26.17,16.75,64.01
"10004","新竹縣","10004010","竹北市",98.6000000000000000,2.64,4564.62,43.56,30.94,12.62,40.78
"10004","新竹縣","10004020","竹東鎮",101.3700000000000000,2.66,1810.39,40.78,18.82,21.96,116.67
"10004","新竹縣","10004030","新埔鎮",113.4800000000000000,2.74,458.39,42.16,12.02,30.14,250.63
"10004","新竹縣","10004040","關西鎮",116.2000000000000000,2.86,214.88,46.19,13.20,32.99,249.84
"10004","新竹縣","10004050","湖口鄉",101.8600000000000000,2.66,1404.70,38.41,19.06,19.35,101.54
"10004","新竹縣","10004060","新豐鄉",105.2400000000000000,2.81,1269.16,38.83,20.75,18.09,87.19
"10004","新竹縣","10004070","芎林鄉",111.9800000000000000,2.75,497.33,39.44,12.45,26.99,216.79
"10004","新竹縣","10004080","橫山鄉",117.2700000000000000,2.79,184.07,48.54,12.52,36.03,287.85
"10004","新竹縣","10004090","北埔鄉",121.5900000000000000,2.77,169.73,45.44,11.36,34.08,299.85
"10004","新竹縣","10004100","寶山鄉",118.3800000000000000,2.39,222.24,34.05,10.34,23.70,229.16
"10004","新竹縣","10004110","峨眉鄉",121.6600000000000000,2.51,112.63,54.76,10.66,44.10,413.77
"10004","新竹縣","10004120","尖石鄉",109.0000000000000000,3.20,17.96,39.88,24.97,14.91,59.73
"10004","新竹縣","10004130","五峰鄉",118.5300000000000000,2.53,19.47,37.06,16.17,20.90,129.25
"10005","苗栗縣","10005010","苗栗市",98.4800000000000000,2.62,2275.75,46.48,17.37,29.11,167.61
"10005","苗栗縣","10005020","苑裡鎮",108.8200000000000000,2.84,642.57,38.75,13.55,25.20,186.03
"10005","苗栗縣","10005030","通霄鎮",112.6800000000000000,2.74,292.29,44.89,11.80,33.09,280.48
"10005","苗栗縣","10005040","竹南鎮",101.3200000000000000,2.70,2369.22,41.64,22.11,19.53,88.33
"10005","苗栗縣","10005050","頭份市",101.1600000000000000,2.71,1984.28,40.54,20.21,20.34,100.63
"10005","苗栗縣","10005060","後龍鎮",111.7500000000000000,2.80,450.63,41.44,13.63,27.81,204.04
"10005","苗栗縣","10005070","卓蘭鎮",110.0200000000000000,2.65,201.31,48.15,12.04,36.10,299.76
"10005","苗栗縣","10005080","大湖鄉",114.6500000000000000,2.54,144.21,46.37,11.43,34.94,305.67
"10005","苗栗縣","10005090","公館鄉",108.3300000000000000,2.86,438.57,43.49,14.55,28.94,198.87
"10005","苗栗縣","10005100","銅鑼鄉",113.0600000000000000,2.71,211.86,45.96,13.88,32.08,231.16
"10005","苗栗縣","10005110","南庄鄉",123.2600000000000000,2.36,53.99,45.45,10.55,34.90,330.86
"10005","苗栗縣","10005120","頭屋鄉",113.1500000000000000,2.72,187.72,44.43,10.49,33.94,323.46
"10005","苗栗縣","10005130","三義鄉",112.8100000000000000,2.67,216.82,43.10,13.90,29.20,210.14
"10005","苗栗縣","10005140","西湖鄉",128.5400000000000000,2.45,154.23,45.63,7.26,38.37,528.16
"10005","苗栗縣","10005150","造橋鄉",114.2100000000000000,2.80,243.72,42.22,11.12,31.10,279.56
"10005","苗栗縣","10005160","三灣鄉",120.5000000000000000,2.64,115.78,48.84,11.77,37.07,314.82
"10005","苗栗縣","10005170","獅潭鄉",121.7700000000000000,2.39,51.93,53.17,8.17,45.01,550.91
"10005","苗栗縣","10005180","泰安鄉",116.2100000000000000,2.85,9.25,36.19,13.83,22.36,161.70
"10007","彰化縣","10007010","彰化市",96.3900000000000000,2.86,3448.04,46.54,19.87,26.67,134.18
"10007","彰化縣","10007020","鹿港鎮",102.3300000000000000,3.31,2154.12,44.08,20.23,23.86,117.94
"10007","彰化縣","10007030","和美鎮",103.2000000000000000,3.16,2215.28,39.64,17.17,22.47,130.87
"10007","彰化縣","10007040","線西鄉",106.2500000000000000,3.52,897.95,39.36,15.49,23.87,154.13
"10007","彰化縣","10007050","伸港鄉",101.2600000000000000,3.44,1712.34,39.99,19.19,20.81,108.44
"10007","彰化縣","10007060","福興鄉",109.0700000000000000,3.36,908.94,39.80,15.30,24.50,160.15
"10007","彰化縣","10007070","秀水鄉",105.9200000000000000,3.35,1299.11,40.06,17.16,22.89,133.37
"10007","彰化縣","10007080","花壇鄉",104.7800000000000000,3.01,1215.10,38.30,14.22,24.08,169.35
"10007","彰化縣","10007090","芬園鄉",110.6300000000000000,3.25,586.40,43.72,13.60,30.12,221.57
"10007","彰化縣","10007100","員林市",97.1400000000000000,2.92,3067.44,46.38,20.63,25.75,124.82
"10007","彰化縣","10007110","溪湖鎮",102.3800000000000000,3.15,1683.35,44.36,20.62,23.74,115.13
"10007","彰化縣","10007120","田中鎮",104.6300000000000000,2.91,1141.87,44.83,14.83,30.00,202.37
"10007","彰化縣","10007130","大村鄉",102.7300000000000000,3.25,1307.77,38.22,16.38,21.84,133.33
"10007","彰化縣","10007140","埔鹽鄉",110.0500000000000000,3.31,807.52,41.06,13.06,28.00,214.45
"10007","彰化縣","10007150","埔心鄉",105.8200000000000000,3.01,1610.78,37.08,13.44,23.64,175.91
"10007","彰化縣","10007160","永靖鄉",106.9700000000000000,3.13,1711.15,41.52,15.39,26.13,169.75
"10007","彰化縣","10007170","社頭鄉",105.5600000000000000,3.09,1148.52,41.44,15.54,25.89,166.59
"10007","彰化縣","10007180","二水鄉",111.4700000000000000,2.64,475.74,50.54,11.49,39.05,339.94
"10007","彰化縣","10007190","北斗鎮",99.8900000000000000,2.91,1729.24,45.56,19.46,26.10,134.10
"10007","彰化縣","10007200","二林鎮",104.8200000000000000,3.09,518.53,45.56,14.92,30.64,205.41
"10007","彰化縣","10007210","田尾鄉",106.4800000000000000,3.13,1080.85,40.70,14.21,26.49,186.39
"10007","彰化縣","10007220","埤頭鄉",106.1700000000000000,3.16,680.43,45.70,16.02,29.68,185.30
"10007","彰化縣","10007230","芳苑鄉",112.1300000000000000,3.09,343.22,47.01,12.62,34.38,272.41
