縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
64000,高雄市,64000290,梓官區,105.59,2.73,3049.23,35.76,12.92,22.84,176.87,110Y06M
64000,高雄市,64000300,旗山區,105.49,2.59,375.36,46.97,13.57,33.41,246.25,110Y06M
64000,高雄市,64000310,美濃區,111.11,2.57,318.88,52.29,11.21,41.08,366.39,110Y06M
64000,高雄市,64000320,六龜區,116.93,2.25,63.15,45.39,10.96,34.44,314.29,110Y06M
64000,高雄市,64000330,甲仙區,112.35,2.53,46.86,43.26,10.5,32.76,311.97,110Y06M
64000,高雄市,64000340,杉林區,119.54,2.4,109.55,46.94,10.47,36.47,348.28,110Y06M
64000,高雄市,64000350,內門區,117.65,2.71,145.22,43.73,9.46,34.27,362.25,110Y06M
64000,高雄市,64000360,茂林區,100.75,3.07,9.69,30.03,17.99,12.04,66.92,110Y06M
64000,高雄市,64000370,桃源區,110.87,3.06,4.51,31.37,19.77,11.6,58.64,110Y06M
64000,高雄市,64000380,那瑪夏區,106.17,3.63,12.41,39.31,26,13.31,51.19,110Y06M
10002,宜蘭縣,10002010,宜蘭市,94.66,2.56,3240.61,42.8,19.31,23.49,121.68,110Y06M
10002,宜蘭縣,10002020,羅東鎮,89.2,2.66,6279.97,48.36,23.22,25.14,108.29,110Y06M
10002,宜蘭縣,10002030,蘇澳鎮,103.75,2.68,433.94,43.6,13.9,29.7,213.67,110Y06M
10002,宜蘭縣,10002040,頭城鎮,105.91,2.74,284.52,40.61,14.57,26.03,178.66,110Y06M
10002,宜蘭縣,10002050,礁溪鄉,107.44,2.43,346.34,40.27,13.77,26.5,192.46,110Y06M
10002,宜蘭縣,10002060,壯圍鄉,110,2.65,634.64,35.02,11.16,23.87,213.88,110Y06M
10002,宜蘭縣,10002070,員山鄉,111.7,2.67,287.52,36.25,12.37,23.88,192.98,110Y06M
