縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,94.69,2.57,24085.74,40.07,18.41,21.66,117.65,109Y06M
65000,新北市,65000020,三重區,96.14,2.51,23637.98,36.5,15.34,21.16,137.94,109Y06M
65000,新北市,65000030,中和區,93.65,2.45,20474.53,38.11,14.56,23.55,161.73,109Y06M
65000,新北市,65000040,永和區,89.98,2.41,38555.95,44.73,17.04,27.69,162.45,109Y06M
65000,新北市,65000050,新莊區,95.03,2.65,21363.9,35.44,18.69,16.75,89.62,109Y06M
65000,新北市,65000060,新店區,92.07,2.34,2524.49,39.09,13.15,25.94,197.24,109Y06M
65000,新北市,65000070,樹林區,99.21,2.73,5550.88,34.95,18.13,16.82,92.81,109Y06M
65000,新北市,65000080,鶯歌區,100.37,2.78,4140.06,34.06,17.39,16.67,95.87,109Y06M
65000,新北市,65000090,三峽區,99.78,2.64,610.59,36.71,19.78,16.93,85.6,109Y06M
65000,新北市,65000100,淡水區,91.7,2.22,2562.64,36.73,15.61,21.13,135.37,109Y06M
65000,新北市,65000110,汐止區,94.81,2.26,2874.5,32.3,13.24,19.06,143.91,109Y06M
65000,新北市,65000120,瑞芳區,102.26,2.43,555.01,38.15,12.51,25.65,205.06,109Y06M
65000,新北市,65000130,土城區,96.86,2.68,8054.9,31.93,15.86,16.07,101.34,109Y06M
65000,新北市,65000140,蘆洲區,96.02,2.77,27205.96,31.79,17.01,14.78,86.88,109Y06M
65000,新北市,65000150,五股區,101.4,2.61,2549.68,31.34,15.91,15.44,97.06,109Y06M
65000,新北市,65000160,泰山區,97.26,2.72,4103.07,36.31,19.4,16.91,87.17,109Y06M
65000,新北市,65000170,林口區,94.62,2.49,2185.67,40.78,24.96,15.82,63.37,109Y06M
65000,新北市,65000180,深坑區,99.81,2.44,1155.13,32.01,12.02,19.99,166.24,109Y06M
65000,新北市,65000190,石碇區,120.53,2.23,52.46,42.99,10.27,32.72,318.57,109Y06M
65000,新北市,65000200,坪林區,119.18,2.64,39.34,49.53,10.79,38.74,358.97,109Y06M
65000,新北市,65000210,三芝區,105.37,2.37,343.88,37.79,12.22,25.58,209.34,109Y06M
65000,新北市,65000220,石門區,108.49,2.73,226.45,35.38,11.51,23.87,207.4,109Y06M
65000,新北市,65000230,八里區,99.44,2.57,1001.31,32.75,15.08,17.67,117.16,109Y06M
65000,新北市,65000240,平溪區,125.39,1.98,62.84,54.32,7.88,46.44,589.08,109Y06M
65000,新北市,65000250,雙溪區,118.46,2.28,58.42,51.22,9.89,41.33,417.71,109Y06M
65000,新北市,65000260,貢寮區,104.78,2.73,119.01,39.62,7.93,31.68,399.41,109Y06M
65000,新北市,65000270,金山區,96.72,2.96,431.31,34.55,12.06,22.49,186.54,109Y06M
65000,新北市,65000280,萬里區,100.33,2.89,343.16,39.03,12.41,26.61,214.37,109Y06M
65000,新北市,65000290,烏來區,95.63,3.34,19.78,39.88,19.6,20.28,103.48,109Y06M
63000,臺北市,63000010,松山區,87.78,2.5,21784.06,52.96,22.33,30.62,137.15,109Y06M
63000,臺北市,63000020,信義區,90.41,2.44,19412.46,46.65,17.08,29.57,173.07,109Y06M
63000,臺北市,63000030,大安區,87.03,2.51,26879.52,56.68,23.69,32.99,139.26,109Y06M
63000,臺北市,63000040,中山區,86.43,2.24,16496.88,46.13,17.7,28.43,160.67,109Y06M
63000,臺北市,63000050,中正區,90.94,2.38,20605.22,53.81,24.94,28.87,115.77,109Y06M
63000,臺北市,63000060,大同區,93.86,2.4,22012.32,46.51,18.94,27.57,145.57,109Y06M
63000,臺北市,63000070,萬華區,95.79,2.34,20887.12,44.64,15.12,29.52,195.25,109Y06M
63000,臺北市,63000080,文山區,91.59,2.51,8566.66,43,19.12,23.88,124.91,109Y06M
63000,臺北市,63000090,南港區,95.46,2.5,5480.9,41.08,17.93,23.15,129.11,109Y06M
63000,臺北市,63000100,內湖區,91,2.59,8997.58,39.48,19.97,19.51,97.66,109Y06M
63000,臺北市,63000110,士林區,92.91,2.6,4504.57,46.25,18.14,28.1,154.92,109Y06M
