縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,92.68,2.44,40657.67,45.05,19.81,25.24,127.39,109Y06M
65000,新北市,65000010,板橋區,65000010-002,流芳里,86.32,2.42,33514.08,52.08,22.83,29.25,128.14,109Y06M
65000,新北市,65000010,板橋區,65000010-003,赤松里,90.96,2.29,27992.82,50.24,23.85,26.38,110.6,109Y06M
65000,新北市,65000010,板橋區,65000010-004,黃石里,91.52,2.48,12755.2,56.95,29.63,27.32,92.18,109Y06M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,93.98,2.3,16921.3,52.6,22.03,30.57,138.73,109Y06M
65000,新北市,65000010,板橋區,65000010-006,湳興里,90.87,2.36,33102.47,39.14,16.17,22.98,142.11,109Y06M
65000,新北市,65000010,板橋區,65000010-007,新興里,91.53,2.14,37884.79,38.33,13.53,24.8,183.28,109Y06M
65000,新北市,65000010,板橋區,65000010-008,社後里,129.71,1.79,58055.52,35.07,9.41,25.66,272.69,109Y06M
65000,新北市,65000010,板橋區,65000010-009,香社里,98.63,2.72,19020.78,36.58,14.9,21.68,145.57,109Y06M
65000,新北市,65000010,板橋區,65000010-010,中正里,95.09,2.64,6264.93,38.81,18.93,19.88,105.03,109Y06M
65000,新北市,65000010,板橋區,65000010-011,自強里,96.21,2.58,62386.59,55.55,19.88,35.67,179.44,109Y06M
65000,新北市,65000010,板橋區,65000010-012,自立里,93.36,2.62,64964.31,42.26,15.24,27.02,177.35,109Y06M
65000,新北市,65000010,板橋區,65000010-013,光華里,95.02,2.48,50493.84,43.83,17.28,26.55,153.69,109Y06M
65000,新北市,65000010,板橋區,65000010-014,國光里,91.62,2.45,67983.21,42.11,11.68,30.43,260.65,109Y06M
65000,新北市,65000010,板橋區,65000010-015,港尾里,91.04,2.71,68606.27,38.65,19.92,18.74,94.06,109Y06M
65000,新北市,65000010,板橋區,65000010-016,金華里,96.44,2.78,76543.26,42.77,18.25,24.53,134.4,109Y06M
65000,新北市,65000010,板橋區,65000010-017,港德里,95.22,2.53,68232.41,44.75,16.26,28.48,175.14,109Y06M
65000,新北市,65000010,板橋區,65000010-018,民權里,92.65,2.47,48502.17,50.11,15.85,34.26,216.14,109Y06M
65000,新北市,65000010,板橋區,65000010-019,建國里,93.07,2.53,62847.93,43.41,15.79,27.62,174.94,109Y06M
65000,新北市,65000010,板橋區,65000010-020,漢生里,93.37,2.59,40348.43,55.87,24.84,31.03,124.93,109Y06M
65000,新北市,65000010,板橋區,65000010-021,公里,96.72,2.68,49684.76,44.06,19.52,24.54,125.75,109Y06M
65000,新北市,65000010,板橋區,65000010-022,新民里,94.37,2.64,15659.2,51.2,26.4,24.81,93.97,109Y06M
65000,新北市,65000010,板橋區,65000010-023,幸福里,96.54,2.66,37685.25,40.03,15.63,24.41,156.22,109Y06M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,92.44,2.48,36785.16,49.41,21.65,27.76,128.21,109Y06M
65000,新北市,65000010,板橋區,65000010-025,百壽里,85.51,2.44,50471.21,52.27,28.23,24.04,85.17,109Y06M
65000,新北市,65000010,板橋區,65000010-026,介壽里,91.34,2.54,41907.5,53.59,25.69,27.9,108.59,109Y06M
65000,新北市,65000010,板橋區,65000010-027,新埔里,95.25,2.43,36663.86,41.74,13.4,28.33,211.39,109Y06M
65000,新北市,65000010,板橋區,65000010-028,華江里,85.51,2.44,67024.6,46.29,28.08,18.21,64.86,109Y06M
65000,新北市,65000010,板橋區,65000010-029,江翠里,96.26,2.58,38374.85,36.73,14.82,21.91,147.78,109Y06M
65000,新北市,65000010,板橋區,65000010-030,純翠里,92.43,2.65,47027.08,37.93,16.03,21.9,136.65,109Y06M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,96.64,2.51,8065.43,38.41,16.58,21.83,131.7,109Y06M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,88.8,2.27,49885.94,36.24,13.71,22.53,164.42,109Y06M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,88.74,2.19,12077.11,33.74,15.96,17.78,111.42,109Y06M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,93.9,2.66,76904.88,42.32,14.49,27.82,191.95,109Y06M
65000,新北市,65000010,板橋區,65000010-035,新翠里,92.21,2.55,71073.84,33.81,15.56,18.25,117.27,109Y06M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,95.05,2.79,71634.14,38.68,17.15,21.53,125.58,109Y06M
65000,新北市,65000010,板橋區,65000010-037,德翠里,95.84,2.75,69002.79,32.02,18.19,13.83,76.01,109Y06M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,93.47,2.65,51590.89,42.11,13.67,28.43,207.9,109Y06M
65000,新北市,65000010,板橋區,65000010-039,明翠里,93.76,2.49,46946.47,40.17,14.14,26.03,184.04,109Y06M
65000,新北市,65000010,板橋區,65000010-040,松翠里,91.6,2.44,48962.24,40.01,15.45,24.56,158.96,109Y06M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,91.93,2.26,6789.78,37.61,16.35,21.27,130.13,109Y06M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,94.64,2.55,43096.92,35.08,13.65,21.43,156.95,109Y06M
65000,新北市,65000010,板橋區,65000010-043,華翠里,92.67,2.68,42529.9,42.69,21.04,21.65,102.91,109Y06M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,87.05,2.45,52487.38,37.08,20.9,16.18,77.39,109Y06M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,98.28,2.58,56436.37,39.76,15.53,24.23,156.03,109Y06M
65000,新北市,65000010,板橋區,65000010-046,文翠里,95.95,2.59,31032.59,39.09,14.76,24.32,164.76,109Y06M
65000,新北市,65000010,板橋區,65000010-047,青翠里,103.46,2.52,54531.19,37.62,13.28,24.35,183.39,109Y06M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,97.15,2.78,21063.89,34.78,14.63,20.16,137.83,109Y06M
65000,新北市,65000010,板橋區,65000010-049,福翠里,100.73,2.41,10525.43,44.26,15.6,28.66,183.78,109Y06M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,96.59,2.52,28923.8,33.55,13.02,20.53,157.72,109Y06M
65000,新北市,65000010,板橋區,65000010-051,振興里,96.49,2.65,43250.13,36.67,12.31,24.35,197.77,109Y06M
65000,新北市,65000010,板橋區,65000010-052,振義里,96.89,2.58,14405.47,35.9,13.06,22.84,174.88,109Y06M
65000,新北市,65000010,板橋區,65000010-053,光復里,103.53,2.51,8720.21,35.63,14.6,21.03,143.97,109Y06M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,90.7,2.46,55822.72,33.5,12.5,21,167.95,109Y06M
65000,新北市,65000010,板橋區,65000010-055,長壽里,96.83,2.73,28264.27,42.3,15.16,27.13,178.93,109Y06M
65000,新北市,65000010,板橋區,65000010-056,福壽里,96.65,2.64,31570.45,33.67,13.16,20.51,155.82,109Y06M
65000,新北市,65000010,板橋區,65000010-057,海山里,90.25,2.97,64971.71,48.34,28.77,19.57,68.03,109Y06M
65000,新北市,65000010,板橋區,65000010-058,九如里,92.51,2.68,47456.16,39.06,16.61,22.45,135.13,109Y06M
65000,新北市,65000010,板橋區,65000010-059,玉光里,90.65,2.52,46113.53,41.05,21.75,19.3,88.75,109Y06M
65000,新北市,65000010,板橋區,65000010-060,光仁里,97.02,2.9,27898.02,46.67,21.6,25.07,116.07,109Y06M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,89.87,2.61,65069.09,48.03,27.14,20.9,77.01,109Y06M
65000,新北市,65000010,板橋區,65000010-062,永安里,94.2,2.56,54392.63,42.16,20.04,22.12,110.4,109Y06M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,91.85,2.76,44117.94,44.55,23.68,20.87,88.14,109Y06M
65000,新北市,65000010,板橋區,65000010-064,廣新里,96.27,2.89,49897.25,47.28,23.21,24.07,103.69,109Y06M
65000,新北市,65000010,板橋區,65000010-065,深丘里,92.37,2.51,26257.66,49.59,30.35,19.23,63.36,109Y06M
65000,新北市,65000010,板橋區,65000010-066,香丘里,91.5,2.64,43459.63,49.39,27.44,21.95,80,109Y06M
65000,新北市,65000010,板橋區,65000010-067,西安里,93.63,2.69,40998.5,45.03,20.53,24.5,119.32,109Y06M
65000,新北市,65000010,板橋區,65000010-068,東丘里,92.62,2.87,39672.47,46.17,21.81,24.36,111.68,109Y06M
65000,新北市,65000010,板橋區,65000010-069,長安里,92.28,2.87,46142.93,46.76,29.15,17.61,60.4,109Y06M
65000,新北市,65000010,板橋區,65000010-070,福丘里,85.54,2.29,21000.36,45.53,24.76,20.76,83.84,109Y06M
65000,新北市,65000010,板橋區,65000010-071,福祿里,88.73,2.52,49476.06,43.16,20.31,22.85,112.54,109Y06M
65000,新北市,65000010,板橋區,65000010-072,民族里,93.8,2.83,54876.03,59.06,36.79,22.27,60.54,109Y06M
65000,新北市,65000010,板橋區,65000010-073,國泰里,91.31,2.6,34688.45,45.55,20.86,24.68,118.32,109Y06M
65000,新北市,65000010,板橋區,65000010-074,福德里,98.32,2.62,41338.86,43.07,17.27,25.8,149.36,109Y06M
65000,新北市,65000010,板橋區,65000010-075,景星里,92.31,2.31,41592.01,39.43,15.99,23.44,146.59,109Y06M
65000,新北市,65000010,板橋區,65000010-076,福星里,91.43,2.69,24703.52,42.19,16.62,25.57,153.83,109Y06M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,91.27,2.36,18519.57,38.6,14.67,23.93,163.13,109Y06M
65000,新北市,65000010,板橋區,65000010-078,廣德里,94.55,2.69,48031.77,41.11,19.04,22.06,115.87,109Y06M
65000,新北市,65000010,板橋區,65000010-079,大豐里,94.89,2.65,50812.9,44.49,16.94,27.55,162.59,109Y06M
65000,新北市,65000010,板橋區,65000010-080,重慶里,95.01,2.71,37270.44,35.86,17.49,18.37,104.99,109Y06M
65000,新北市,65000010,板橋區,65000010-081,仁愛里,98.08,2.72,35304.37,42.81,15.54,27.28,175.57,109Y06M
65000,新北市,65000010,板橋區,65000010-082,和平里,88.38,2.5,65551.34,42.19,28.77,13.42,46.66,109Y06M
65000,新北市,65000010,板橋區,65000010-083,廣福里,94.72,2.7,16055.99,35.76,17.75,18.01,101.44,109Y06M
65000,新北市,65000010,板橋區,65000010-084,華興里,94.27,2.55,62789.35,35.63,13.88,21.75,156.76,109Y06M
65000,新北市,65000010,板橋區,65000010-085,華貴里,90.65,2.64,46671.33,45.16,17.61,27.55,156.48,109Y06M
65000,新北市,65000010,板橋區,65000010-086,華德里,90.83,2.45,56544.53,37.27,17.57,19.7,112.09,109Y06M
65000,新北市,65000010,板橋區,65000010-087,華東里,93.93,2.29,10336.68,35.14,14.52,20.62,142.07,109Y06M
65000,新北市,65000010,板橋區,65000010-088,信義里,95.3,2.54,55522.93,40.03,15.98,24.05,150.49,109Y06M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,101.35,2.69,5926.42,38.57,16.19,22.38,138.17,109Y06M
65000,新北市,65000010,板橋區,65000010-090,華中里,101.17,2.8,6951.32,35.05,16.86,18.19,107.87,109Y06M
65000,新北市,65000010,板橋區,65000010-091,僑中里,100.28,2.82,57408.78,30.03,15.92,14.11,88.68,109Y06M
65000,新北市,65000010,板橋區,65000010-092,中山里,95.53,2.31,18190.5,35.16,17.47,17.69,101.3,109Y06M
65000,新北市,65000010,板橋區,65000010-093,復興里,155.22,3.54,9430.41,78.13,17.36,60.76,350,109Y06M
65000,新北市,65000010,板橋區,65000010-094,大安里,102.08,2.66,42593.17,39.44,15.72,23.72,150.87,109Y06M
65000,新北市,65000010,板橋區,65000010-095,福安里,90.9,2.21,16230.51,33.85,18.36,15.49,84.4,109Y06M
65000,新北市,65000010,板橋區,65000010-096,聚安里,99.42,2.73,19090.82,37.58,16.44,21.14,128.55,109Y06M
65000,新北市,65000010,板橋區,65000010-097,龍安里,94.9,2.66,13235.62,40.12,16.3,23.82,146.15,109Y06M
65000,新北市,65000010,板橋區,65000010-098,崑崙里,96.06,2.75,37851.98,33.45,18.89,14.57,77.12,109Y06M
65000,新北市,65000010,板橋區,65000010-099,溪洲里,94.68,2.81,44480.01,38.88,18.54,20.34,109.75,109Y06M
65000,新北市,65000010,板橋區,65000010-100,溪北里,96.61,2.71,30070.92,39.16,18.6,20.56,110.48,109Y06M
65000,新北市,65000010,板橋區,65000010-101,香雅里,96.27,2.55,22818.36,39.71,14.19,25.51,179.77,109Y06M
65000,新北市,65000010,板橋區,65000010-102,新生里,97.94,2.81,81607.91,43.46,18.77,24.69,131.53,109Y06M
65000,新北市,65000010,板橋區,65000010-103,文德里,97.48,2.66,54660.81,36.7,14.43,22.28,154.38,109Y06M
65000,新北市,65000010,板橋區,65000010-104,文化里,92.63,2.51,29187.73,42.87,18,24.87,138.17,109Y06M
65000,新北市,65000010,板橋區,65000010-105,新海里,99.29,2.87,21377.85,37.17,18.28,18.88,103.28,109Y06M
65000,新北市,65000010,板橋區,65000010-106,莒光里,94.33,2.53,35104.44,46.58,20.1,26.49,131.78,109Y06M
65000,新北市,65000010,板橋區,65000010-107,富貴里,94.13,2.67,41706.65,42.42,14.75,27.67,187.65,109Y06M
